Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,tissue,cell,solid,t
SRR31521261,2024-11-26 22:27:38,2024-11-26 21:09:10,55273580,16582074000,55273580,300,4919,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521261/SRR31521261.lite.1,SRX26888762,DAS_01,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368995,SAMN45068480,simple,9305,Sarcophilus harrisii,DAS_01,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,E21C37738E971FF95DAE71A97421ACEC,B465B5D675BBD30C7E53BD1A8B2009DE,spleen,,True,spleen
SRR31521260,2024-11-26 22:27:37,2024-11-26 21:07:40,43318731,12995619300,43318731,300,3837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521260/SRR31521260.lite.1,SRX26888763,DAS_02,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368996,SAMN45068481,simple,9305,Sarcophilus harrisii,DAS_02,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,90EECE13398AE106007430267277762A,6DC772A51896DFC502CBF19D76C0EE79,spleen,,True,spleen
SRR31521259,2024-11-27 00:28:40,2024-11-26 21:10:10,63641897,19092569100,63641897,300,5793,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521259/SRR31521259.lite.1,SRX26888764,DAS_03,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368997,SAMN45068482,simple,9305,Sarcophilus harrisii,DAS_03,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,5EEE660A3EDEC6414A4CAAB93A84994A,42B5A6F8DB31747E4B9A09A0DEF12980,spleen,,True,spleen
SRR31521258,2024-11-26 22:27:38,2024-11-26 21:08:35,51693842,15508152600,51693842,300,4555,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521258/SRR31521258.lite.1,SRX26888765,DAS_04,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368998,SAMN45068483,simple,9305,Sarcophilus harrisii,DAS_04,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,66F1C8D15B71A7F0BD9F255F3E08684F,38F079A6DDA03EA7C127C47225403F22,spleen,,True,spleen
SRR31521281,2024-11-26 22:27:38,2024-11-26 21:17:14,56987760,17096328000,56987760,300,5017,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521281/SRR31521281.lite.1,SRX26888742,DAS_05,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368975,SAMN45068484,simple,9305,Sarcophilus harrisii,DAS_05,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,AECA8E59B19B8681983050AC44158453,ED6659665B9F794407EC28694C349248,liver,,True,liver
SRR31521280,2024-11-26 23:18:07,2024-11-26 21:22:14,65233114,19569934200,65233114,300,5771,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521280/SRR31521280.lite.1,SRX26888743,DAS_06,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368976,SAMN45068485,simple,9305,Sarcophilus harrisii,DAS_06,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,56A8BE82A1B23F5A1ECBE9D8EFC0742D,4B937795035A4F9700E20AD8A1AC182E,liver,,True,liver
SRR31521279,2024-11-26 23:36:17,2024-11-26 22:29:21,61474509,18442352700,61474509,300,5507,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521279/SRR31521279.lite.1,SRX26888744,DAS_07,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368977,SAMN45068486,simple,9305,Sarcophilus harrisii,DAS_07,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,7359BAB8550F7E148DED4267C61D1503,604BBF928F3232A264716D0C5FEBBC44,kidney,,True,kidney
SRR31521278,2024-11-26 22:36:21,2024-11-26 22:13:21,69987121,20996136300,69987121,300,6409,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521278/SRR31521278.lite.1,SRX26888745,DAS_08,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368978,SAMN45068487,simple,9305,Sarcophilus harrisii,DAS_08,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,B27A027114D2A1870B70745F76A03E52,A0298887F12EC2433C8C76D5DC8FB783,kidney,,True,kidney
SRR31521275,2024-11-27 00:43:56,2024-11-26 23:56:25,58356105,17506831500,58356105,300,5164,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521275/SRR31521275.lite.1,SRX26888748,DAS_17,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368981,SAMN45068490,simple,9305,Sarcophilus harrisii,DAS_17,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,BA3518B5D817FE90D00E0D06035ADCBD,78EAF2C533BFBD7C9DD5A57A8C05676A,kidney,,True,kidney
SRR31521269,2024-11-26 22:27:38,2024-11-26 21:10:20,57003635,17101090500,57003635,300,5080,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521269/SRR31521269.lite.1,SRX26888754,TD_kidney,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368987,SAMN45068495,simple,9305,Sarcophilus harrisii,TD_kidney,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,9360DA59FA7B6557FC7BD24A72F62704,3054CEA56D25A2C664BFDBCFC96B1C70,kidney,,True,kidney
SRR31521268,2024-11-26 22:27:37,2024-11-26 21:11:23,44969319,13490795700,44969319,300,3994,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31521/SRR31521268/SRR31521268.lite.1,SRX26888755,TD_liver_1,RNA-Seq,other,METATRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X,SRP547817,PRJNA1191053,,1191053,SRS23368988,SAMN45068496,simple,9305,Sarcophilus harrisii,TD_liver_1,,,,,female and male,,no,,,,,THE UNIVERSITY OF SYDNEY,SRA2023204,,public,96E6FE59E326087B5E1A2D7D2F6CB460,A22481DED2BBC31DF6281CD4C1D8AD06,liver,,True,liver
