Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,tissue,cell,solid,t
SRR31371109,2025-01-15 10:11:30,2024-11-17 14:27:57,34239698,4117525658,34239698,120,1650,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31371/SRR31371109/SRR31371109.lite.1,SRX26744705,GSM8636241,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP545699,PRJNA1187226,3.0,1187226,SRS23233609,SAMN44786502,simple,38626,Phascolarctos cinereus,GSM8636241,,,,,,,no,,,,,UMASS MED,SRA2016574,,public,B0E2CC41DBF28AF39895C824B1108775,56212926CB96927B12AFCB949DB95111,liver,,True,liver
SRR31371107,2025-01-15 10:11:30,2024-11-17 14:30:47,39073524,5136011238,39073524,131,2155,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31371/SRR31371107/SRR31371107.lite.1,SRX26744706,GSM8636242,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP545699,PRJNA1187226,3.0,1187226,SRS23233610,SAMN44786501,simple,38626,Phascolarctos cinereus,GSM8636242,,,,,,,no,,,,,UMASS MED,SRA2016574,,public,A422BAFA6C5E362928B95E761AAE5743,BD0397E6432D1A80728FBFE99F6FF14B,testis,,True,testis
SRR31371106,2025-01-15 10:11:30,2024-11-17 14:26:53,38724249,5362425495,38724249,138,2278,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31371/SRR31371106/SRR31371106.lite.1,SRX26744707,GSM8636243,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP545699,PRJNA1187226,3.0,1187226,SRS23233611,SAMN44786500,simple,38626,Phascolarctos cinereus,GSM8636243,,,,,,,no,,,,,UMASS MED,SRA2016574,,public,483909C6EC2AD562217B81E410F350D2,18C2079D7AAA5A08CF834230F2AC477E,liver,,True,liver
SRR31371108,2025-01-15 10:11:31,2024-11-17 14:31:36,39926359,5783973799,39926359,144,2487,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR031/31371/SRR31371108/SRR31371108.lite.1,SRX26744708,GSM8636244,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP545699,PRJNA1187226,3.0,1187226,SRS23233612,SAMN44786499,simple,38626,Phascolarctos cinereus,GSM8636244,,,,,,,no,,,,,UMASS MED,SRA2016574,,public,99016C54FFA22C0C0A932402749743AC,3AF987307B2BB2C6783EBFF6698D600F,testis,,True,testis
SRR30589455,2025-01-15 10:11:33,2024-09-07 13:16:16,21808961,3199937103,21808961,146,1331,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589455/SRR30589455.lite.1,SRX26012192,GSM8503051,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584380,SAMN43532870,simple,38626,Phascolarctos cinereus,GSM8503051,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,A859120B95D90F073AB1FAFD481ACDF6,91C2776579F40335D9D0115387255A98,liver,,True,liver
SRR30589454,2025-01-15 10:11:34,2024-09-07 13:23:51,111363944,16585584463,111363944,148,6702,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589454/SRR30589454.lite.1,SRX26012193,GSM8503052,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584381,SAMN43532869,simple,38626,Phascolarctos cinereus,GSM8503052,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,245CDF119A8671A699C839009977F5BD,7164A8AFA369C0DB02D6C61E5D279E54,testis,,True,testis
SRR30589451,2025-01-15 10:11:35,2024-09-07 13:17:16,35451848,5245053446,35451848,147,2255,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589451/SRR30589451.lite.1,SRX26012194,GSM8503053,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584382,SAMN43532868,simple,38626,Phascolarctos cinereus,GSM8503053,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,0156476926C2FE483E081FAA06C4CC13,78CF2527FFC572AEFC280EDD5F6D9D06,liver,,True,liver
SRR30589450,2025-01-15 10:11:35,2024-09-07 13:32:32,240417106,36244988019,240417106,150,14443,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589450/SRR30589450.lite.1,SRX26012195,GSM8503054,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584383,SAMN43532867,simple,38626,Phascolarctos cinereus,GSM8503054,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,7688E9D431D45819660759D3E54296CB,8C469F3520E5C8A9948E8336C745E52A,testis,,True,testis
SRR30589452,2025-01-15 10:11:35,2024-09-07 13:17:50,38274734,5263844899,38274734,137,2158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589452/SRR30589452.lite.1,SRX26012196,GSM8503055,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584384,SAMN43532866,simple,38626,Phascolarctos cinereus,GSM8503055,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,EA1E416F520EF8DA07917C6E5259CE72,229218F24CFD20C6516E7EFF86326D36,liver,,True,liver
SRR30589449,2025-01-15 10:11:33,2024-09-07 13:21:20,39940897,5714537494,39940897,143,2396,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR030/30589/SRR30589449/SRR30589449.lite.1,SRX26012197,GSM8503056,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP531280,PRJNA1158232,3.0,1158232,SRS22584385,SAMN43532865,simple,38626,Phascolarctos cinereus,GSM8503056,,,,,,,no,,,,,UMASS MED,SRA1965423,,public,BA8721CA48D7FD0F7BC6C5D1835F2DCE,1009C414CB76280730D571C44EEE1987,ovary,,True,ovary
